"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"449",NA,NA,"65 000 Ft/hó",NA,"Kölcsey utca"," Biharkeresztes","62 m² terület","2 szoba","6 m² erkély"
"450",NA,NA,"80 000 Ft/hó",NA,"Templom tér 12-15"," XIX. kerület","18 m² terület","1 szoba",NA
"451",NA,NA,"120 000 Ft/hó",NA,"Egyetem utca"," Piliscsaba","50 m² terület","2 szoba","4 m² erkély"
"452","Új építésű",NA,"159 000 Ft/hó",NA,"Székesfehérvár",NA,"57 m² terület","2 szoba",NA
"453",NA,NA,"190 000 Ft/hó",NA,"Murányi utca"," VII. kerület","79 m² terület","3 szoba",NA
"454","Új építésű",NA,"195 000 Ft/hó",NA,"Mura utca 4."," XIII. kerület","43 m² terület","2 szoba","11 m² erkély"
"455",NA,NA,"175 000 Ft/hó",NA,"Budaörs"," Holdfény lakópark","58 m² terület","2 szoba","5 m² erkély"
"456",NA,NA,"180 000 Ft/hó",NA,"Budaörs"," Lakótelep","68 m² terület","3 + 1 fél szoba","4 m² erkély"
"457",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","300 000 Ft/hó",NA,"Hercegprímás utca 2, V. kerület",NA,NA
"458",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","140 000 Ft/hó",NA,"Izzó utca, IV. kerület",NA,NA
"459",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Jávorka Ádám utca, XIV. kerület",NA,NA
"460",NA,NA,"120 000 Ft/hó",NA,"Üllői út 91"," IX. kerület","40 m² terület","1 + 1 fél szoba",NA
"461",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Hűvösvölgyi út, II. kerület",NA,NA
"462",NA,NA,"68 000 Ft/hó",NA,"Nagykanizsa"," Keleti városrész","54 m² terület","2 szoba","3 m² erkély"
"463",NA,NA,"100 000 Ft/hó",NA,"Dandár utca"," IX. kerület","34 m² terület","1 szoba",NA
"464",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","65 000 Ft/hó",NA,"Radnóti Miklós tér, Kazincbarcika",NA,NA
"465",NA,NA,"60 000 Ft/hó",NA,"Nagykanizsa"," Belváros","49 m² terület","2 szoba",NA
"466",NA,NA,"220 000 Ft/hó",NA,"Mura utca 4"," XIII. kerület","42 m² terület","1 + 1 fél szoba","8 m² erkély"
"467",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Fiastyúk utca, XIII. kerület",NA,NA
"468",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","139 000 Ft/hó",NA,"Vezér utca, XIV. kerület",NA,NA
"469",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","95 000 Ft/hó",NA,"Várkerület 72, Sopron",NA,NA
"470",NA,NA,"120 000 Ft/hó",NA,"Lónyay utca 42b"," IX. kerület","26 m² terület","1 szoba",NA
"471",NA,NA,"100 000 Ft/hó",NA,"Bethlen Gábor utca"," VII. kerület","30 m² terület","1 + 1 fél szoba",NA
"472",NA,NA,"90 000 Ft/hó",NA,"Attila út 119."," I. kerület","30 m² terület","1 szoba",NA
"473",NA,NA,"130 000 Ft/hó",NA,"Régi posta utca"," V. kerület","35 m² terület","1 szoba","4 m² erkély"
"474","Beleszeretős",NA,"70 000 Ft/hó",NA,"Mezőtúr"," Belváros","53 m² terület","2 szoba",NA
"475",NA,NA,"370 000 Ft/hó",NA,"Krisztinaváros"," I. kerület","180 m² terület","3 szoba",NA
"476",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Várna utca, XIV. kerület",NA,NA
"477",NA,NA,"95 000 Ft/hó",NA,"Hunyadi János utca"," Pécs","28 m² terület","1 szoba",NA
"478","Új építésű",NA,"150 000 Ft/hó",NA,"Hubay Jenő tér"," XV. kerület","44 m² terület","2 szoba","10 m² erkély"
"479",NA,NA,"150 000 Ft/hó",NA,"Wesselényi utca 21"," VII. kerület","55 m² terület","2 szoba",NA
"480",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Kálvária tér, Szeged",NA,NA
"481",NA,NA,"80 000 Ft/hó",NA,"Árok utca"," Nyíregyháza","46 m² terület","1 + 1 fél szoba","4 m² erkély"
"482",NA,NA,"130 000 Ft/hó",NA,"Gyulai Pál utca 12"," VIII. kerület","40 m² terület","1 szoba",NA
"483",NA,NA,"150 000 Ft/hó",NA,"Külső-Erzsébetváros - Ligetváros"," VII. kerület","76 m² terület","2 + 1 fél szoba",NA
"484",NA,NA,"110 000 Ft/hó",NA,"Debrecen"," Belváros","35 m² terület","1 + 1 fél szoba",NA
"485",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","115 000 Ft/hó",NA,"Görgey Artúr utca, IV. kerület",NA,NA
"486",NA,NA,"165 000 Ft/hó",NA,"Debrecen",NA,"59 m² terület","2 szoba",NA
"487",NA,NA,"125 000 Ft/hó",NA,"Középső-Ferencváros - Rehabilitációs terület"," IX. kerület","31 m² terület","1 szoba",NA
"488",NA,NA,"110 000 Ft/hó",NA,"Debreceni utca"," Szeged","47 m² terület","2 szoba","3 m² erkély"
"489",NA,NA,"179 000 Ft/hó",NA,"Középső-Ferencváros - Rehabilitációs terület"," IX. kerület","58 m² terület","2 szoba","6 m² erkély"
"490",NA,NA,"110 000 Ft/hó",NA,"Győrújfalu",NA,"40 m² terület","0 + 2 fél szoba","12 m² erkély"
"491",NA,NA,"120 000 Ft/hó",NA,"Külső-Terézváros"," VI. kerület","30 m² terület","1 szoba",NA
"492",NA,NA,"90 000 Ft/hó",NA,"Mikszáth Kálmán utca"," Debrecen","51 m² terület","1 + 2 fél szoba",NA
"493",NA,NA,"240 000 Ft/hó",NA,"Honvéd utca"," V. kerület","62 m² terület","2 szoba",NA
"494",NA,NA,"90 000 Ft/hó",NA,"Kassai utca"," Miskolc","50 m² terület","2 szoba",NA
"495","Csak szoba",NA,"50 000 Ft/hó",NA,"Paulay Ede utca 43"," VI. kerület","8 m² terület","3 + 1 fél szoba",NA
"496","Csak szoba",NA,"60 000 Ft/hó",NA,"Róbert Károly körút"," XIII. kerület","68 m² terület","3 szoba","4 m² erkély"
"497",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Építő utca, XVIII. kerület",NA,NA
"498",NA,NA,"130 000 Ft/hó",NA,"Bánomi út"," Esztergom","55 m² terület","2 szoba",NA
"499","Új építésű",NA,"125 000 Ft/hó",NA,"Dunaszeg",NA,"42 m² terület","1 + 1 fél szoba",NA
"500",NA,NA,"145 000 Ft/hó",NA,"Vizafogó-lakótelep"," XIII. kerület","60 m² terület","1 + 2 fél szoba","3 m² erkély"
"501",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","60 000 Ft/hó",NA,"Jávorka Ádám utca, Nyíregyháza",NA,NA
"502",NA,NA,"220 000 Ft/hó",NA,"Krisztinaváros"," I. kerület","52 m² terület","2 szoba","6 m² erkély"
"503",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Szigligeti utca 1, XIX. kerület",NA,NA
"504",NA,NA,"140 000 Ft/hó",NA,"Csepel-Királymajor"," XXI. kerület","45 m² terület","2 szoba",NA
"505",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Radnóti Miklós utca, Tatabánya",NA,NA
"506",NA,NA,"140 000 Ft/hó",NA,"Hertelendy utca"," XII. kerület","66 m² terület","2 szoba",NA
"507",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Mária utca, Kistarcsa",NA,NA
"508",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","95 000 Ft/hó",NA,"Fórum tér, Székesfehérvár",NA,NA
"509",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","80 000 Ft/hó",NA,"Római körút, Dunaújváros",NA,NA
"510",NA,NA,"120 000 Ft/hó",NA,"Újpest"," IV. kerület","35 m² terület","1 szoba",NA
"511",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","110 000 Ft/hó",NA,"Padlizsán utca, XIV. kerület",NA,NA
"512",NA,NA,"110 000 Ft/hó",NA,"Szeged"," Belváros","95 m² terület","2 szoba",NA
"513",NA,NA,"135 000 Ft/hó",NA,"Sopron"," Belváros","66 m² terület","3 szoba",NA
"514",NA,NA,"185 000 Ft/hó",NA,"Bartók Béla út"," XI. kerület","86 m² terület","2 szoba",NA
"515",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","85 000 Ft/hó",NA,"Balfi út, Sopron",NA,NA
"516",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Rohonci út 17, Szombathely",NA,NA
"517",NA,NA,"150 000 Ft/hó",NA,"Visegrádi utca"," XIII. kerület","56 m² terület","2 szoba","3 m² erkély"
"518","Új építésű",NA,"220 000 Ft/hó",NA,"Mura utca"," XIII. kerület","43 m² terület","2 szoba","11 m² erkély"
"519",NA,NA,"150 000 Ft/hó",NA,"Erzsébet királyné út"," Mosonmagyaróvár","60 m² terület","2 szoba","15 m² erkély"
"520",NA,NA,"220 000 Ft/hó",NA,"Országút"," II. kerület","51 m² terület","2 szoba",NA
"521",NA,NA,"110 000 Ft/hó",NA,"Vízisport utca 15"," XX. kerület","32 m² terület","1 szoba",NA
"522",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Szentgyörgy út 73, Miskolc",NA,NA
"523",NA,NA,"72 000 Ft/hó",NA,"Galamb utca 22"," Albertirsa","16 m² terület","1 szoba",NA
"524",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","160 000 Ft/hó",NA,"Csata utca, XIII. kerület",NA,NA
"525",NA,NA,"89 000 Ft/hó",NA,"Petőfi Sándor utca"," Kecskemét","47 m² terület","1 + 1 fél szoba","6 m² erkély"
"526",NA,NA,"100 000 Ft/hó",NA,"Szekfű Gyula utca"," IV. kerület","26 m² terület","1 szoba",NA
"527",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","160 000 Ft/hó",NA,"Kassai utca, IV. kerület",NA,NA
"528",NA,NA,"130 000 Ft/hó",NA,"Móra Ferenc lakótelep 7"," Mosonmagyaróvár","63 m² terület","3 + 1 fél szoba","10 m² erkély"
"529",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","230 000 Ft/hó",NA,"Ipoly utca, XIII. kerület",NA,NA
"530",NA,NA,"130 000 Ft/hó",NA,"Handzsár utca"," XIV. kerület","54 m² terület","2 szoba",NA
"531",NA,NA,"115 000 Ft/hó",NA,"Piac utca"," Debrecen","33 m² terület","1 szoba",NA
"532","Új építésű",NA,"150 000 Ft/hó",NA,"Egressy út"," XIV. kerület","45 m² terület","2 szoba","5 m² erkély"
"533",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","305 000 Ft/hó",NA,"Hátulsó utca 1-3, Sopron",NA,NA
"534",NA,NA,"140 000 Ft/hó",NA,"Simonyi Zsigmond utca"," XIX. kerület","54 m² terület","2 + 1 fél szoba","4 m² erkély"
"535",NA,NA,"115 000 Ft/hó",NA,"Vörösmarty utca"," VI. kerület","32 m² terület","1 szoba",NA
"536",NA,NA,"400 000 Ft/hó",NA,"Gábor Áron utca"," II. kerület","87 m² terület","2 + 2 fél szoba",NA
"537",NA,NA,"185 000 Ft/hó",NA,"Bartók Béla út"," XI. kerület","86 m² terület","2 szoba",NA
"538",NA,NA,"250 000 Ft/hó",NA,"Bogár utca 29"," II. kerület","69 m² terület","3 szoba",NA
"539",NA,NA,"130 000 Ft/hó",NA,"Vác"," Belváros","40 m² terület","1 szoba",NA
"540",NA,NA,"110 000 Ft/hó",NA,"Visegrádi utca"," XIII. kerület","26 m² terület","1 szoba",NA
"541",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","230 000 Ft/hó",NA,"Hamzsabégi út, XI. kerület",NA,NA
"542",NA,NA,"130 000 Ft/hó",NA,"Erzsébet királyné utca"," Esztergom","53 m² terület","2 szoba",NA
"543",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","50 000 Ft/hó",NA,"Bajcsy-Zsilinszky út 48, Miskolc",NA,NA
"544",NA,NA,"60 000 Ft/hó",NA,"Szolnok"," Széchenyi-lakótelep","16 m² terület","1 szoba",NA
"545",NA,NA,"170 000 Ft/hó",NA,"Józsefváros - Palotanegyed"," VIII. kerület","39 m² terület","1 szoba",NA
"546",NA,NA,"110 000 Ft/hó",NA,"Szövetség utca"," VII. kerület","30 m² terület","1 szoba",NA
"547",NA,NA,"100 000 Ft/hó",NA,"Sörgyár utca"," X. kerület","35 m² terület","1 + 1 fél szoba","3 m² erkély"
"548",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","75 000 Ft/hó",NA,"Római körút 40, Dunaújváros",NA,NA
"549",NA,NA,"110 000 Ft/hó",NA,"Mészáros Lázár tér 3"," Kecskemét","51 m² terület","2 szoba","4 m² erkély"
"550",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","60 000 Ft/hó",NA,"Esze Tamás lakótelep, Kiskunhalas",NA,NA
"551",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Százados út 20/c, VIII. kerület",NA,NA
"552",NA,NA,"170 000 Ft/hó",NA,"Bulcsú utca"," XIII. kerület","53 m² terület","1 szoba",NA
"553",NA,NA,"100 000 Ft/hó",NA,"Gőzhajó utca 9"," Kecskemét","55 m² terület","1 + 1 fél szoba","5 m² erkély"
"554",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Böszörményi út, Debrecen",NA,NA
"555",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Nagy Lajos király útja 83, XIV. kerület",NA,NA
"556",NA,NA,"120 000 Ft/hó",NA,"Jendrassik György utca"," III. kerület","35 m² terület","1 + 1 fél szoba","6 m² erkély"
"557",NA,NA,"100 000 Ft/hó",NA,"Dohány utca"," VII. kerület","26 m² terület","1 szoba",NA
"558",NA,NA,"200 000 Ft/hó",NA,"Balzac utca"," XIII. kerület","47 m² terület","2 szoba","8 m² erkély"
"559",NA,NA,"350 000 Ft/hó",NA,"Szugló utca"," XIV. kerület","65 m² terület","3 szoba","31 m² erkély"
"560",NA,NA,"110 000 Ft/hó",NA,"Curia utca"," V. kerület","36 m² terület","1 szoba",NA
"561",NA,NA,"730 300 Ft/hó",NA,"Szent István körút"," XIII. kerület","105 m² terület","3 szoba","3 m² erkély"
"562",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Nagy Lajos király útja 212, XIV. kerület",NA,NA
"563",NA,NA,"125 000 Ft/hó",NA,"Hegedűs Gyula utca"," XIII. kerület","25 m² terület","1 szoba",NA
"564","Új építésű",NA,"160 000 Ft/hó",NA,"Kossuth Lajos utca"," Budaörs","41 m² terület","1 + 2 fél szoba","10 m² erkély"
"565",NA,NA,"110 000 Ft/hó",NA,"Veszprém"," Belváros","34 m² terület","1 szoba",NA
"566",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Nyír utca 30, XXIII. kerület",NA,NA
"567",NA,NA,"120 000 Ft/hó",NA,"Bíró Márton utca"," Zalaegerszeg","75 m² terület","1 + 2 fél szoba",NA
"568",NA,NA,"125 000 Ft/hó",NA,"Nagyvárad tér"," VIII. kerület","30 m² terület","1 szoba",NA
"569",NA,NA,"125 000 Ft/hó",NA,"Nagyvárad tér"," VIII. kerület","30 m² terület","1 szoba",NA
"570",NA,NA,"180 000 Ft/hó",NA,"Visegrádi utca 43-45"," XIII. kerület","58 m² terület","2 szoba",NA
"571",NA,NA,"110 000 Ft/hó",NA,"Kőbánya - Óhegy"," X. kerület","53 m² terület","2 szoba","3 m² erkély"
"572",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","105 000 Ft/hó",NA,"Szivárvány utca, Szigetszentmiklós",NA,NA
"573",NA,NA,"110 000 Ft/hó",NA,"Csillag lakótelep"," Komárom","49 m² terület","2 szoba",NA
"574",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","140 000 Ft/hó",NA,"József Attila utca 60, Budakeszi",NA,NA
"575",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Baranyai tér, XI. kerület",NA,NA
"576",NA,NA,"110 000 Ft/hó",NA,"Tűzoltó utca 27/B"," IX. kerület","25 m² terület","1 szoba",NA
"577","Új építésű",NA,"800 000 Ft/hó",NA,"Népfürdő utca"," XIII. kerület","116 m² terület","3 + 2 fél szoba","200 m² erkély"
"578",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","140 000 Ft/hó",NA,"Garay utca, VII. kerület",NA,NA
"579",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Zrínyi utca, IV. kerület",NA,NA
"580",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Szintes utca, Dabas",NA,NA
"581",NA,NA,"350 000 Ft/hó",NA,"Fő utca"," I. kerület","90 m² terület","3 + 1 fél szoba","3 m² erkély"
"582",NA,NA,"150 000 Ft/hó",NA,"Reitter Ferenc utca"," XIII. kerület","38 m² terület","1 szoba","2 m² erkély"
"583",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","50 000 Ft/hó",NA,"Bátyai út, Kalocsa",NA,NA
"584",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Kada utca 114/b, X. kerület",NA,NA
"585",NA,NA,"120 000 Ft/hó",NA,"Iparkamara utca"," Debrecen","57 m² terület","1 + 2 fél szoba","3 m² erkély"
"586",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Tallián Gyula utca, Kaposvár",NA,NA
"587","Csak szoba",NA,"75 000 Ft/hó",NA,"Aulich utca"," V. kerület","15 m² terület","4 szoba",NA
"588",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Frangepán utca, XIII. kerület",NA,NA
"589",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","180 000 Ft/hó",NA,"Izabella utca 71, VI. kerület",NA,NA
"590",NA,NA,"100 000 Ft/hó",NA,"Debrecen"," Belváros","38 m² terület","2 szoba",NA
"591",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","135 000 Ft/hó",NA,"Budafoki út 34, XI. kerület",NA,NA
"592",NA,NA,"150 000 Ft/hó",NA,"Göd"," Felsőgöd","45 m² terület","2 szoba",NA
"593",NA,NA,"100 000 Ft/hó",NA,"Kőrösi Csoma Sándor út"," X. kerület","38 m² terület","1 szoba",NA
"594",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","145 000 Ft/hó",NA,"Szentmihályi út, XIV. kerület",NA,NA
"595",NA,NA,"150 000 Ft/hó",NA,"Páter Kiss Szaléz utca 22"," Gyöngyös","57 m² terület","2 szoba","10 m² erkély"
"596",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","90 000 Ft/hó",NA,"Dési Huber István utca, Kaposvár",NA,NA
"597",NA,NA,"110 000 Ft/hó",NA,"Búza utca"," Gyöngyös","70 m² terület","1 + 2 fél szoba","6 m² erkély"
"598",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"József Attila utca, Szigetszentmiklós",NA,NA
"599",NA,NA,"125 000 Ft/hó",NA,"Egri út"," Gyöngyös","73 m² terület","1 + 2 fél szoba","6 m² erkély"
"600",NA,NA,"90 000 Ft/hó",NA,"Batthyány utca 25"," Szeged","60 m² terület","2 szoba",NA
"601",NA,NA,"250 000 Ft/hó",NA,"Ditrói Mór utca"," XIII. kerület","100 m² terület","3 szoba",NA
"602","Videó elérhető",NA,"140 000 Ft/hó",NA,"Arany János utca"," Székesfehérvár","50 m² terület","1 szoba",NA
"603",NA,NA,"120 000 Ft/hó",NA,"Csopaki utca"," II. kerület","30 m² terület","1 + 1 fél szoba","30 m² erkély"
"604",NA,NA,"90 000 Ft/hó",NA,"Szent László út"," XIII. kerület","35 m² terület","1 szoba",NA
"605",NA,NA,"200 000 Ft/hó",NA,"Komlóssy út"," Debrecen","66 m² terület","3 + 1 fél szoba","8 m² erkély"
"606",NA,NA,"120 000 Ft/hó",NA,"Vörösmarty utca"," VI. kerület","46 m² terület","1 szoba",NA
"607",NA,NA,"95 000 Ft/hó",NA,"Attila út"," I. kerület","20 m² terület","1 szoba",NA
"608",NA,NA,"115 000 Ft/hó",NA,"Aranykéz utca"," V. kerület","29 m² terület","1 szoba","2 m² erkély"
"609",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","230 000 Ft/hó",NA,"Hegedűs Gyula utca, XIII. kerület",NA,NA
"610",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","300 000 Ft/hó",NA,"Izabella utca, VI. kerület",NA,NA
"611",NA,NA,"100 000 Ft/hó",NA,"Pozsonyi út"," XIII. kerület","34 m² terület","1 szoba","2 m² erkély"
"612",NA,NA,"100 000 Ft/hó",NA,"Ady Endre út"," XXI. kerület","31 m² terület","1 szoba","5 m² erkély"
"613",NA,NA,"200 000 Ft/hó",NA,"Hungária körút"," XIV. kerület","45 m² terület","1 + 1 fél szoba",NA
"614",NA,NA,"120 000 Ft/hó",NA,"Jancsár utca"," Székesfehérvár","49 m² terület","2 szoba",NA
"615",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Bolgárkertész utca, XIV. kerület",NA,NA
"616",NA,NA,"683 800 Ft/hó",NA,"Németvölgy"," XII. kerület","118 m² terület","4 szoba","8 m² erkély"
"617",NA,NA,"899 700 Ft/hó",NA,"Rózsadomb"," II. kerület","120 m² terület","4 szoba","14 m² erkély"
"618",NA,NA,"155 000 Ft/hó",NA,"Baranyai tér"," XI. kerület","55 m² terület","2 szoba","4 m² erkély"
"619",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","190 000 Ft/hó",NA,"Tárogató út, II. kerület",NA,NA
"620",NA,NA,"250 000 Ft/hó",NA,"Magyar utca"," V. kerület","60 m² terület","2 szoba",NA
"621",NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Zrínyi Miklós utca, Veszprém",NA,NA
"622",NA,NA,"135 000 Ft/hó",NA,"Daróczi út"," XI. kerület","37 m² terület","1 szoba",NA
"623",NA,NA,"285 000 Ft/hó",NA,"Kempelen Farkas utca"," XII. kerület","86 m² terület","2 + 1 fél szoba",NA
"624",NA,NA,"40 000 Ft/hó",NA,"Gátőr utca 4"," Miskolc","25 m² terület","1 szoba",NA
"625",NA,NA,"440 000 Ft/hó",NA,"Gellérthegy"," XI. kerület","83 m² terület","3 szoba","6 m² erkély"
"626",NA,NA,"160 000 Ft/hó",NA,"Bártfai utca"," XI. kerület","65 m² terület","2 szoba",NA
"627",NA,NA,"150 000 Ft/hó",NA,"Budakeszi út"," II. kerület","56 m² terület","2 szoba","12 m² erkély"
"628",NA,NA,"110 000 Ft/hó",NA,"Napkelet utca"," XVII. kerület","28 m² terület","1 szoba",NA
