"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"477",NA,NA,NA,"180 000 Ft/hó",NA,"Haller utca 121"," IX. kerület","90 m² terület","2 + 1 fél szoba",NA
"478","Új építésű",NA,NA,"260 000 Ft/hó",NA,"Tiszaújváros",NA,"61 m² terület","3 szoba","4.33 m² erkély"
"479",NA,NA,NA,"100 000 Ft/hó",NA,"Fekete út 53"," Vác","36 m² terület","1 szoba",NA
"480",NA,NA,NA,"220 000 Ft/hó",NA,"Gömb utca 48"," XIII. kerület","57 m² terület","3 szoba","8 m² erkély"
"481",NA,NA,NA,"85 000 Ft/hó",NA,"Derkovits sor"," Békéscsaba","71 m² terület","1 + 2 fél szoba","5 m² erkély"
"482",NA,NA,NA,"200 000 Ft/hó",NA,"Róbert Károly körút"," XIII. kerület","60 m² terület","4 szoba",NA
"483","Új építésű",NA,NA,"280 000 Ft/hó",NA,"Corvin sétány"," VIII. kerület","64 m² terület","2 + 1 fél szoba","28 m² erkély"
"484",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","95 000 Ft/hó",NA,"Erzsébet királyné út, XXII. kerület",NA,NA
"485",NA,NA,NA,"250 000 Ft/hó",NA,"Alkotmány utca"," V. kerület","69 m² terület","3 szoba",NA
"486",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","165 000 Ft/hó",NA,"Ipar utca, IX. kerület",NA,NA
"487","Új építésű",NA,NA,"140 000 Ft/hó",NA,"Béke utca 117"," XIII. kerület","45 m² terület","1 szoba","5 m² erkély"
"488",NA,NA,NA,"150 000 Ft/hó",NA,"Irinyi József utca"," XI. kerület","50 m² terület","1 + 1 fél szoba",NA
"489",NA,NA,NA,"450 000 Ft/hó",NA,"Döbrentei utca"," I. kerület","84 m² terület","3 szoba",NA
"490",NA,NA,NA,"499 000 Ft/hó",NA,"Szilágyi Dezső tér"," I. kerület","84 m² terület","3 szoba",NA
"491","Csak szoba",NA,NA,"60 000 Ft/hó",NA,"Attila út"," I. kerület","8 m² terület","3 + 1 fél szoba","15 m² erkély"
"492",NA,NA,NA,"620 755 Ft/hó",NA,"Kmety György utca"," VI. kerület","121 m² terület","3 + 1 fél szoba",NA
"493",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Petőfi Sándor utca, XXII. kerület",NA,NA
"494",NA,NA,NA,"130 000 Ft/hó",NA,"Kisgyár utca 81-83"," Halásztelek","49 m² terület","1 szoba",NA
"495","Virtuális séta",NA,NA,"693 785 Ft/hó",NA,"Belváros"," V. kerület","68 m² terület","3 szoba","10 m² erkély"
"496","Új építésű",NA,NA,"125 000 Ft/hó",NA,"Rottenbiller utca 17-19"," VII. kerület","24 m² terület","1 szoba",NA
"497",NA,NA,NA,"160 000 Ft/hó",NA,"Balatonfüred"," Belváros","36 m² terület","1 szoba","5 m² erkély"
"498",NA,NA,NA,"180 000 Ft/hó",NA,"Bikszádi utca"," XI. kerület","47 m² terület","2 szoba",NA
"499",NA,NA,NA,"130 000 Ft/hó",NA,"Bartók Béla út"," XI. kerület","26 m² terület","1 szoba",NA
"500",NA,NA,NA,"170 000 Ft/hó",NA,"Bartók Béla út"," XI. kerület","47 m² terület","1 szoba",NA
"501",NA,NA,NA,"170 000 Ft/hó",NA,"Bartók Béla út"," XI. kerület","47 m² terület","1 szoba",NA
"502",NA,NA,NA,"150 000 Ft/hó",NA,"Bartók Béla út"," XI. kerület","34 m² terület","1 szoba",NA
"503",NA,NA,NA,"150 000 Ft/hó",NA,"Bikszádi utca"," XI. kerület","34 m² terület","1 szoba",NA
"504",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","110 000 Ft/hó",NA,"Szent Lőrinc sétány, XVIII. kerület",NA,NA
"505",NA,NA,NA,"250 000 Ft/hó",NA,"Reitter Ferenc utca"," XIII. kerület","100 m² terület","2 + 1 fél szoba",NA
"506","Új építésű",NA,NA,"693 785 Ft/hó",NA,"Budapart tér"," XI. kerület","80 m² terület","3 szoba","35 m² erkély"
"507",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","140 000 Ft/hó",NA,"Solymár utca, III. kerület",NA,NA
"508",NA,NA,NA,"250 000 Ft/hó",NA,"Alkotmány utca"," V. kerület","69 m² terület","3 szoba",NA
"509",NA,NA,NA,"75 000 Ft/hó",NA,"Nagy Lajos király útja 158"," XIV. kerület","16 m² terület","1 szoba","4 m² erkély"
"510",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","190 000 Ft/hó",NA,"Sport utca 18, Nagykovácsi",NA,NA
"511",NA,NA,NA,"140 000 Ft/hó",NA,"Bikszádi utca"," XI. kerület","26 m² terület","1 szoba",NA
"512",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","240 000 Ft/hó",NA,"Garibaldi utca, V. kerület",NA,NA
"513","Régen frissült",NA,NA,"511 210 Ft/hó",NA,"Teréz körút"," VI. kerület","146 m² terület","5 szoba",NA
"514",NA,NA,NA,"912 875 Ft/hó",NA,"Bajcsy-Zsilinszky út 66."," V. kerület","113 m² terület","3 szoba",NA
"515",NA,NA,NA,"170 000 Ft/hó",NA,"Bem tér"," Debrecen","70 m² terület","3 szoba",NA
"516",NA,NA,NA,"328 635 Ft/hó",NA,"Erzsébet körút 32."," VII. kerület","103 m² terület","4 szoba",NA
"517",NA,NA,NA,"375 000 Ft/hó",NA,"Damjanich utca 1"," Szolnok","92 m² terület","3 + 1 fél szoba",NA
"518",NA,NA,NA,"328 635 Ft/hó",NA,"Király utca 93."," VII. kerület","83 m² terület","3 szoba",NA
"519",NA,NA,NA,"140 000 Ft/hó",NA,"Semmelweis utca"," V. kerület","45 m² terület","1 szoba",NA
"520",NA,NA,NA,"2 000 000 Ft/hó",NA,"Lipótváros"," V. kerület","600 m² terület","8 szoba",NA
"521","Csak szoba",NA,NA,"45 000 Ft/hó",NA,"Béke utca 26"," XIII. kerület","30 m² terület","1 szoba",NA
"522",NA,NA,NA,"95 000 Ft/hó",NA,"Böszörményi út"," XII. kerület","30 m² terület","1 + 1 fél szoba",NA
"523",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","135 000 Ft/hó",NA,"Tűzkő utca, XI. kerület",NA,NA
"524",NA,NA,NA,"90 000 Ft/hó",NA,"Hollán Ernő utca"," Szombathely","43 m² terület","1 + 2 fél szoba",NA
"525",NA,NA,NA,"220 000 Ft/hó",NA,"Andrássy út"," VI. kerület","51 m² terület","1 + 1 fél szoba",NA
"526","Videó elérhető",NA,NA,"365 150 Ft/hó",NA,"Belső-Erzsébetváros"," VII. kerület","90 m² terület","3 szoba",NA
"527","Csak szoba",NA,NA,"40 000 Ft/hó",NA,"Kinizsi utca 22"," IX. kerület","6 m² terület","0 + 1 fél szoba","10 m² erkély"
"528",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Lengyár telep, Komárom",NA,NA
"529",NA,NA,NA,"160 000 Ft/hó",NA,"Dohány utca"," VII. kerület","61 m² terület","2 szoba",NA
"530","Csak szoba",NA,NA,"69 000 Ft/hó",NA,"Bártfai utca 36-50"," XI. kerület","12 m² terület","1 szoba","4 m² erkély"
"531",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","190 000 Ft/hó",NA,"Hőgyes Endre utca, Pécs",NA,NA
"532",NA,NA,NA,"750 000 Ft/hó",NA,"Havas utca"," V. kerület","140 m² terület","2 + 1 fél szoba",NA
"533",NA,NA,NA,"180 000 Ft/hó",NA,"Zsemlékes út 25"," XVI. kerület","50 m² terület","2 szoba",NA
"534",NA,NA,NA,"190 000 Ft/hó",NA,"Regényes utca"," XXII. kerület","96 m² terület","4 szoba","4 m² erkély"
"535","Csak szoba",NA,NA,"60 000 Ft/hó",NA,"Bánkút utca"," XV. kerület","16 m² terület","1 szoba",NA
"536",NA,NA,NA,"100 000 Ft/hó",NA,"Nagy Lajos király útja"," XIV. kerület","35 m² terület","1 szoba",NA
"537",NA,NA,NA,"265 000 Ft/hó",NA,"Krisztinaváros - Váralja"," I. kerület","113 m² terület","4 szoba",NA
"538",NA,NA,NA,"2 000 000 Ft/hó",NA,"Tatabánya"," Bánhida","400 m² terület","14 szoba",NA
"539",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","260 000 Ft/hó",NA,"Kőfaragó utca, VIII. kerület",NA,NA
"540","Új építésű",NA,NA,"365 150 Ft/hó",NA,"Hatvan utca"," Debrecen","91 m² terület","3 szoba","8 m² erkély"
"541",NA,NA,NA,"360 000 Ft/hó",NA,"Döbrentei utca"," I. kerület","100 m² terület","3 szoba",NA
"542",NA,NA,NA,"140 000 Ft/hó",NA,"Csalogány utca"," I. kerület","50 m² terület","2 szoba",NA
"543",NA,NA,NA,"80 000 Ft/hó",NA,"Népkert sor"," Szeged","80 m² terület","1 + 1 fél szoba",NA
"544",NA,NA,NA,"100 000 Ft/hó",NA,"Népkert sor"," Szeged","90 m² terület","2 szoba","6 m² erkély"
"545",NA,NA,NA,"80 000 Ft/hó",NA,"Pöröly utca"," XVII. kerület","40 m² terület","1 szoba",NA
"546","Csak szoba",NA,NA,"40 000 Ft/hó",NA,"Csákány utca 7. Fs 1."," Pécs","16 m² terület","1 szoba","2 m² erkély"
"547",NA,NA,NA,"350 000 Ft/hó",NA,"Váci út"," XIII. kerület","117 m² terület","3 + 1 fél szoba","3 m² erkély"
"548",NA,NA,NA,"115 000 Ft/hó",NA,"Laktanya utca"," Mosonmagyaróvár","52 m² terület","2 szoba",NA
"549",NA,NA,NA,"380 000 Ft/hó",NA,"Lágymányosi utca 20"," XI. kerület","106 m² terület","3 + 1 fél szoba","5 m² erkély"
"550",NA,NA,NA,"98 000 Ft/hó",NA,"Nagykőrös",NA,"83 m² terület","3 szoba","4 m² erkély"
"551",NA,NA,NA,"220 000 Ft/hó",NA,"Mester utca 53"," IX. kerület","62 m² terület","2 szoba","10 m² erkély"
"552",NA,NA,NA,"140 000 Ft/hó",NA,"Ótemető utca"," Debrecen","63 m² terület","2 szoba",NA
"553",NA,NA,NA,"730 300 Ft/hó",NA,"Zugligeti út"," XII. kerület","95 m² terület","4 szoba",NA
"554",NA,NA,NA,"180 000 Ft/hó",NA,"Molnár utca"," V. kerület","62 m² terület","2 szoba","2 m² erkély"
"555","Új építésű",NA,NA,"180 000 Ft/hó",NA,"Gidófalvy Lajos utca 4"," XIII. kerület","45 m² terület","2 szoba","5 m² erkély"
"556",NA,NA,NA,"150 000 Ft/hó",NA,"Föltámadás utca"," Szeged","91 m² terület","3 szoba",NA
"557",NA,NA,NA,"999 000 Ft/hó",NA,"Rulikowski utca"," Gyula","9 999 m² terület","9 + 9 fél szoba","99 m² erkély"
"558",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Kossuth utca 4, Székesfehérvár",NA,NA
"559",NA,NA,NA,"89 000 Ft/hó",NA,"Kamaraerdei út 11"," XI. kerület","27 m² terület","1 szoba",NA
"560",NA,NA,NA,"130 000 Ft/hó",NA,"Március 15. utca"," Salgótarján","54 m² terület","2 szoba","8 m² erkély"
"561",NA,NA,NA,"160 000 Ft/hó",NA,"Hungária körút"," X. kerület","72 m² terület","3 szoba",NA
"562",NA,NA,NA,"120 000 Ft/hó",NA,"Szigeti József utca"," IV. kerület","35 m² terület","1 + 1 fél szoba",NA
"563",NA,NA,NA,"250 000 Ft/hó",NA,"Komárom",NA,"91 m² terület","3 szoba",NA
"564",NA,NA,NA,"110 000 Ft/hó",NA,"Kossuth utca"," Debrecen","71 m² terület","2 szoba",NA
"565",NA,NA,NA,"250 000 Ft/hó",NA,"Bartók Béla út"," XI. kerület","70 m² terület","2 + 1 fél szoba",NA
"566",NA,NA,NA,"250 000 Ft/hó",NA,"Dob utca 34"," VII. kerület","37 m² terület","2 szoba","5 m² erkély"
"567",NA,NA,NA,"150 000 Ft/hó",NA,"Múzeum körút 33"," V. kerület","37 m² terület","1 szoba",NA
"568",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Róbert Károly körút, XIII. kerület",NA,NA
"569",NA,NA,NA,"250 000 Ft/hó",NA,"Vezér utca"," Debrecen","210 m² terület","4 szoba",NA
"570",NA,NA,NA,"50 000 Ft/hó",NA,"Isaszegi út"," Gödöllő","120 m² terület","4 szoba",NA
"571",NA,NA,NA,"295 000 Ft/hó",NA,"Újlipótváros - Cézárház"," XIII. kerület","66 m² terület","2 szoba","46 m² erkély"
"572",NA,NA,NA,"730 300 Ft/hó",NA,"Zugligeti út"," XII. kerület","95 m² terület","4 szoba",NA
"573",NA,NA,NA,"521 000 Ft/hó",NA,"Petőfi Sándor utca 2"," Letenye","555 m² terület","5 szoba","44 m² erkély"
"574",NA,NA,NA,"125 000 Ft/hó",NA,"Angyalföld - Fiastyúk utcai lakótelep"," XIII. kerület","40 m² terület","1 szoba",NA
"575","Csak szoba",NA,NA,"69 500 Ft/hó",NA,"Böszörményi út 2"," XII. kerület","10 m² terület","1 szoba",NA
"576",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Liget tér 2, X. kerület",NA,NA
"577",NA,NA,NA,"90 000 Ft/hó",NA,"Bicske",NA,"250 m² terület","8 szoba","16 m² erkély"
"578","Új építésű",NA,NA,"200 000 Ft/hó",NA,"Corvin sétány"," VIII. kerület","50 m² terület","2 szoba","10 m² erkély"
"579",NA,NA,NA,"70 000 Ft/hó",NA,"Árpád út"," Miskolc","35 m² terület","1 + 1 fél szoba",NA
"580",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Munkácsy Mihály utca 17, Pécs",NA,NA
"581",NA,NA,NA,"155 000 Ft/hó",NA,"Nagy Ignác utca"," V. kerület","60 m² terület","2 szoba",NA
"582",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","70 000 Ft/hó",NA,"Huszár lakótelep, Pápa",NA,NA
"583",NA,NA,NA,"120 000 Ft/hó",NA,"Egyetem sugárút"," Debrecen","43 m² terület","1 + 1 fél szoba",NA
"584",NA,NA,NA,"285 000 Ft/hó",NA,"Győr"," Belváros","103 m² terület","3 + 1 fél szoba","11 m² erkély"
"585",NA,NA,NA,"100 000 Ft/hó",NA,"Tisza utca"," XIII. kerület","37 m² terület","1 szoba",NA
"586",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Bíborka utca 13, Győrújbarát",NA,NA
"587",NA,NA,NA,"45 000 Ft/hó",NA,"Martinovics Ignác utca"," Dunaújváros","15 m² terület","1 szoba",NA
"588",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","90 000 Ft/hó",NA,"Károly út, Mosonmagyaróvár",NA,NA
"589",NA,NA,NA,"690 000 Ft/hó",NA,"Marina sétány"," XIII. kerület","105 m² terület","4 szoba","30 m² erkély"
"590",NA,NA,NA,"140 000 Ft/hó",NA,"Fő utca 49"," Écs","50 m² terület","2 szoba",NA
"591",NA,NA,NA,"1 278 025 Ft/hó",NA,"Tábor utca 2-4"," I. kerület","180 m² terület","3 szoba","30 m² erkély"
"592",NA,NA,NA,"1 825 750 Ft/hó",NA,"Felhévíz"," II. kerület","182 m² terület","5 szoba",NA
"593",NA,NA,NA,"300 000 Ft/hó",NA,"Széchenyi út"," Kalocsa","85 m² terület","2 szoba",NA
"594","Új építésű",NA,NA,"156 000 Ft/hó",NA,"Sopron"," Belváros külső","41 m² terület","2 szoba",NA
"595",NA,NA,NA,"150 000 Ft/hó",NA,"Csepel-Királyerdő"," XXI. kerület","120 m² terület","2 szoba",NA
"596",NA,NA,NA,"150 000 Ft/hó",NA,"Vörösmarty utca"," VI. kerület","70 m² terület","2 + 1 fél szoba",NA
"597","Csak szoba",NA,NA,"80 000 Ft/hó",NA,"II. Rákóczi Ferenc út"," XXI. kerület","16 m² terület","1 szoba",NA
"598",NA,NA,NA,"80 000 Ft/hó",NA,"Csanádi utca"," Szeged","42 m² terület","1 + 1 fél szoba",NA
"599","Új építésű",NA,NA,"110 000 Ft/hó",NA,"Csengery utca 11"," VII. kerület","15 m² terület","1 szoba",NA
"600",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","85 000 Ft/hó",NA,"Fő tér, Gyöngyös",NA,NA
"601",NA,NA,NA,"110 000 Ft/hó",NA,"Szondi utca"," VI. kerület","40 m² terület","1 szoba",NA
"602",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","110 000 Ft/hó",NA,"Baross utca 122, VIII. kerület",NA,NA
"603",NA,NA,NA,"300 000 Ft/hó",NA,"Lenhossék utca"," IX. kerület","73 m² terület","3 szoba","6 m² erkély"
"604","Új építésű",NA,NA,"250 000 Ft/hó",NA,"Székesfehérvár"," Belváros","62 m² terület","2 szoba",NA
"605",NA,NA,NA,"180 000 Ft/hó",NA,"Kecskemét"," Hunyadiváros","88 m² terület","3 szoba","6 m² erkély"
"606",NA,NA,NA,"290 000 Ft/hó",NA,"Irányi utca"," V. kerület","100 m² terület","2 szoba",NA
"607",NA,NA,NA,"170 000 Ft/hó",NA,"Üllői út 61"," IX. kerület","80 m² terület","2 szoba",NA
"608",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Szárnyas utca, X. kerület",NA,NA
"609",NA,NA,NA,"70 000 Ft/hó",NA,"Stadion utca"," Nyíregyháza","43 m² terület","1 + 1 fél szoba",NA
"610","Új építésű",NA,NA,"350 000 Ft/hó",NA,"Debrecen"," Széchenyikert","120 m² terület","4 szoba",NA
"611","Új építésű",NA,NA,"390 000 Ft/hó",NA,"Debrecen"," Széchenyikert","120 m² terület","4 szoba",NA
"612",NA,NA,NA,"130 000 Ft/hó",NA,"István út"," Debrecen","63 m² terület","1 + 2 fél szoba",NA
"613",NA,NA,NA,"110 000 Ft/hó",NA,"Kapuvár"," Városközpont","46 m² terület","2 szoba",NA
"614","Csak szoba",NA,NA,"45 000 Ft/hó",NA,"Thököly út 105"," XIV. kerület","7 m² terület","1 szoba",NA
"615",NA,NA,NA,"110 000 Ft/hó",NA,"Kapuvár"," Városközpont","52 m² terület","2 szoba",NA
"616",NA,NA,NA,"105 000 Ft/hó",NA,"Kapuvár"," Városközpont","46 m² terület","2 szoba",NA
"617","Új építésű",NA,NA,"390 000 Ft/hó",NA,"Gyolcsos utca"," Debrecen","120 m² terület","3 szoba",NA
"618","Új építésű",NA,NA,"365 150 Ft/hó",NA,"Ráday utca"," IX. kerület","58 m² terület","2 szoba","1 m² erkély"
"619","Új építésű",NA,NA,"438 180 Ft/hó",NA,"Ráday utca"," IX. kerület","79 m² terület","3 szoba","14 m² erkély"
"620","Új építésű",NA,NA,"365 150 Ft/hó",NA,"Ráday utca"," IX. kerület","58 m² terület","2 szoba","1 m² erkély"
"621",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","250 000 Ft/hó",NA,"Köztelek utca, IX. kerület",NA,NA
"622",NA,NA,NA,"200 000 Ft/hó",NA,"Tiszaújváros"," Városközpont","51 m² terület","2 szoba",NA
"623",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","145 000 Ft/hó",NA,"Felső Törökhegy út, Vác",NA,NA
"624",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","95 000 Ft/hó",NA,"Arany János utca 10., Kecskemét",NA,NA
"625",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","75 000 Ft/hó",NA,"Kölcsey utca, Felsőpakony",NA,NA
"626",NA,NA,NA,"220 000 Ft/hó",NA,"Bérkocsis utca 41"," VIII. kerület","100 m² terület","3 szoba",NA
"627","Új építésű",NA,NA,"110 000 Ft/hó",NA,"Batthyány utca"," Debrecen","31 m² terület","1 szoba",NA
"628",NA,NA,NA,"1 225 000 Ft/hó",NA,"Krisztinaváros - Váralja"," I. kerület","186 m² terület","3 szoba","20 m² erkély"
"629",NA,NA,NA,"180 000 Ft/hó",NA,"Veszprém"," Dózsaváros","69 m² terület","1 + 2 fél szoba",NA
"630",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","260 000 Ft/hó",NA,"Úszódaru utca 1, XIII. kerület",NA,NA
"631","Új építésű",NA,NA,"140 000 Ft/hó",NA,"Corvin sétány"," VIII. kerület","30 m² terület","1 szoba",NA
"632","Csak szoba",NA,NA,"80 000 Ft/hó",NA,"Bajcsy-Zsilinszky utca"," Iváncsa","15 m² terület","1 szoba",NA
"633",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Március 15. utca, Kecskemét",NA,NA
"634",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","235 000 Ft/hó",NA,"Mátyás tér, VIII. kerület",NA,NA
"635",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Őz utca, Kecskemét",NA,NA
"636",NA,NA,NA,"130 000 Ft/hó",NA,"Hollán Ernő utca"," XIII. kerület","33 m² terület","1 szoba",NA
"637",NA,NA,NA,"175 000 Ft/hó",NA,"Fűrész utca"," XIV. kerület","47 m² terület","1 + 1 fél szoba",NA
"638",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","155 000 Ft/hó",NA,"Vécsey utca 3., XIX. kerület",NA,NA
"639",NA,NA,NA,"185 000 Ft/hó",NA,"Nádorliget utca"," XI. kerület","51 m² terület","2 szoba","4 m² erkély"
"640",NA,NA,NA,"200 000 Ft/hó",NA,"Piac utca"," Debrecen","71 m² terület","3 szoba",NA
"641",NA,NA,NA,"150 000 Ft/hó",NA,"Pápa"," Erzsébetváros","72 m² terület","2 szoba",NA
"642",NA,NA,NA,"102 000 Ft/hó",NA,"Hungária körút"," XIV. kerület","20 m² terület","1 szoba","2 m² erkély"
"643",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","72 000 Ft/hó",NA,"Podmaniczky utca, VI. kerület",NA,NA
"644",NA,NA,NA,"135 000 Ft/hó",NA,"Hertelendy utca"," XII. kerület","44 m² terület","2 szoba",NA
"645",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Szent László utca 187, Siófok",NA,NA
"646",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Lónyay utca 46, IX. kerület",NA,NA
"647",NA,NA,NA,"100 000 Ft/hó",NA,"Táltos utca 6"," XII. kerület","26 m² terület","1 szoba",NA
"648",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","125 000 Ft/hó",NA,"Munkás utca, Fertőd",NA,NA
"649",NA,NA,NA,"260 000 Ft/hó",NA,"Fortuna köz"," I. kerület","80 m² terület","2 + 1 fél szoba","2 m² erkély"
"650","Videó elérhető",NA,NA,"547 725 Ft/hó",NA,"Lipótváros"," V. kerület","130 m² terület","4 szoba",NA
"651","Új építésű",NA,NA,"649 000 Ft/hó",NA,"Budapart tér"," XI. kerület","97 m² terület","4 szoba","20 m² erkély"
"652",NA,NA,NA,"110 000 Ft/hó",NA,"Tigris utca"," XXI. kerület","60 m² terület","1 + 1 fél szoba","15 m² erkély"
"653",NA,NA,NA,"530 000 Ft/hó",NA,"Belső-Terézváros"," VI. kerület","91 m² terület","3 szoba",NA
"654",NA,NA,NA,"280 000 Ft/hó",NA,"Bolyai utca"," Debrecen","54 m² terület","2 szoba","10 m² erkély"
"655",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","135 000 Ft/hó",NA,"Tűzkő utca 4, XI. kerület",NA,NA
"656","Új építésű",NA,NA,"200 000 Ft/hó",NA,"Mura utca"," XIII. kerület","41 m² terület","1 + 1 fél szoba","7 m² erkély"
"657",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","269 000 Ft/hó",NA,"Kemenes utca, XI. kerület",NA,NA
"658",NA,NA,NA,"250 000 Ft/hó",NA,"Dóczy József utca"," Debrecen","61 m² terület","2 szoba",NA
"659",NA,NA,NA,"1 000 000 Ft/hó",NA,"Almásfüzitő",NA,"550 m² terület","13 szoba","10 m² erkély"
"660",NA,NA,NA,"365 150 Ft/hó",NA,"Gellérthegy utca"," I. kerület","71 m² terület","3 szoba","4 m² erkély"
"661",NA,NA,NA,"250 000 Ft/hó",NA,"Fővám tér 1"," V. kerület","53 m² terület","2 szoba",NA
"662",NA,NA,NA,"1 100 000 Ft/hó",NA,"Üllői út"," VIII. kerület","300 m² terület","1 szoba",NA
"663",NA,NA,NA,"120 000 Ft/hó",NA,"Nád utca"," Nyíregyháza","63 m² terület","2 szoba","6 m² erkély"
